当初第五抄袭杀鸡的时候有没有想过这一天,0
第五人格总归是补票上车，但是第五人格地图是自己设计的谢谢，企鹅是原封照搬，你们企鹅人被扒抄袭就找被抄游戏的歪，这一套还没打腻吗(^_^),0
虽然是先上车，但是起码第五买票了,0
我们至少还买票了哦,0
我们至少还同意原著了呢你们家的游戏哪一个是同意原著的了,0
不一样哦、买了版权的。,0
宁没事吧咱还有杀鸡做顾问呢还会差版权？,0
可是补了票哦而且这个垃圾的翻板动作和杀机完全一模一样,0
玩法有授权地图和角色是原创如果这都能强扣抄袭的帽子那我无话可说,0
咱买版权了哦,0
我们现在有版权玩法有授权地图角色是原创这tx是直接照搬,0
说实话wy玩家别戾气这么重，真正的tx玩家巴不得tx早点死，dwrg虽然说补票了，但是改变不了当时抄袭的事实，lmsj玩家观感真的很差，只能说俩大厂比比谁更烂吧哈哈哈,0
如果对合作有问题请联系杀机官方哦亲,0
腾讯给你钱了吧,0
压根就没抄这回事不理解这方面就别说话捏,0
也不知道王者荣耀抄袭的是谁呢？,0
网易有版权的,0
那什么，合作关系,0
有没有一种可能，第五人格内测的时候杀机的公司就已经给第五人格版权了？,0
以下杀鸡回应：首先衷心感谢粉丝们长久以来对我们的支持和维护，我们非常感动。同时，能看到在黎明杀机的有效促进下，非对称竟技类游戏在全球范围越来越壮大，我们感到很欣显。需要明确的是，《网易第五人格》并没有获得《黎明杀机》品牌授权，但因未来我方将成为其玩法顾问，,0
赶紧让你tx买第五人格的票,0
第五有版权，腾讯纯抄袭，而且还抄了个垃圾出来。也不知道是腾讯水平不行，还是没有道德呢,0
咱第五有杀鸡版权哦亲，你们腾讯抄的游戏还少吗，成都双标的事还不够是吧,0
根本就不是先上车后买票，好多第五玩家都被你们带偏了,0
大姐，人家杀鸡都说了是翻译问题，第五有版权的,0
我方在游戏公测前允许《第五人格》使用《黎明杀机》的玩法。而我方会在未来为其提供建议，帮助其更好的进行全球化。如果来来有任何新的进展我们会另行公告。,0
小号仔说话就是硬气怎么不放大号出来给大家开开眼,0
哈哈哈你腾讯抄的少吗，打自己脸可真牛,0
您在说什么,0
omg饱饱tx给了你多少钱我也想赚钱,0
tx人也配说这话？？至少我们补票了呢你们抄lol可是理直气壮的呢,0
这是哪家xz啊,0
呃，你该不会不知道，第五这个游戏有被杀机同意的吧，当初杀机那里还派人过来做指导的,0
哟真是给你蹭的机会了,0
搞清楚再来叭叭好吗,0
srds先上车，但好歹买票了呀,0
不会吧不会吧但凡买个版权你觉得我们会计较吗,0
腾讯给多少钱啊,0
眼睛不好就去看医生，我真不会治病,0
抄你个头抄，第五人格还没发布就已经开始和杀鸡合作了，后来第五人格起来了，还帮杀鸡打通中国市场,0
咋，你王者荣耀不也抄英雄联盟不是,0
你是腾讯的丫鬟吗哈哈哈哈,0
你没事吧你没事吧,0
啊对对对对对对对对对～你清高~你了不起~你自己没眼睛去看看怪谁呢~,0
你好公测前双方就是合作关系了哦,0
买票可太好笑了游戏玩法没有版权保护自己动动脑子行不行呀,0
看它简介知道是自我介绍它自己真可怜,0
哇有人抄中抄中抄中抄，还不给钱，哇这么穷,0
啊对对对,0
腾讯抄的还少吗,0
你真的了解这个事情吗？是不是几年前看见这个事情，就一锤子敲定后续没有再看过了,0
6但凡了解一点知道一丢丢就乱讲,0
让腾讯现在给咱版权费,0
咱有版权的哦麻烦您去医院看看眼睛⑧好吗,0
真是要笑死我了，咱补票了，腾讯要学学嘛，看看买的下来不笑死我了真是可怜,0
第五人格公测前就与杀机运营达成合作，后面早就澄清过了，而且第五人格本身就有属于自己的原创角色原创地图以及国家级认证职业联赛，是这tx破游戏能对标的？,0
人家入股了哦,0
我超！有农,0
你没事吧,0
你没事吧你没事吧,0
五斯林真的很好笑，说第五也抄袭就自动入腾讯籍是吧，两家都喜欢抄，自己狗咬狗去吧，关老子屁事,0
不是杀鸡被封没法发声五宝才被说抄袭吗？本来就是合作出游戏的杀鸡策划还在第五，这些先不说第五至少也买票了，腾讯呢？腾讯吃霸王餐呢,0
我们有版权的哦你没事吧你没事吧你没事吧,0
有版权的好吧而且黎明杀机的地形和第五是不一样的然而Tex和第五的地形却是一样的宝你懂吗？,0
